COUNTRY,Country,SPECIES,Species,MEASURE,Measure,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
CAN,Canada,FCP,Common carp [Cyprinus carpio],TON,Tonne,2008,2008,TONNE,Tonnes,0,Units,,,259,,
CAN,Canada,FCP,Common carp [Cyprinus carpio],TON,Tonne,2009,2009,TONNE,Tonnes,0,Units,,,305,,
CAN,Canada,FCP,Common carp [Cyprinus carpio],TON,Tonne,2010,2010,TONNE,Tonnes,0,Units,,,33,,
CAN,Canada,FCP,Common carp [Cyprinus carpio],TON,Tonne,2011,2011,TONNE,Tonnes,0,Units,,,10,,
CAN,Canada,FCP,Common carp [Cyprinus carpio],TON,Tonne,2012,2012,TONNE,Tonnes,0,Units,,,6,,
CAN,Canada,FCP,Common carp [Cyprinus carpio],TON,Tonne,2013,2013,TONNE,Tonnes,0,Units,,,211,,
CAN,Canada,FCP,Common carp [Cyprinus carpio],TON,Tonne,2014,2014,TONNE,Tonnes,0,Units,,,731,,
CAN,Canada,FCP,Common carp [Cyprinus carpio],TON,Tonne,2015,2015,TONNE,Tonnes,0,Units,,,594,,
CAN,Canada,FCP,Common carp [Cyprinus carpio],TON,Tonne,2016,2016,TONNE,Tonnes,0,Units,,,779,,
CAN,Canada,FCP,Common carp [Cyprinus carpio],TON,Tonne,2017,2017,TONNE,Tonnes,0,Units,,,802,,
CAN,Canada,13,Miscellaneous freshwater fishes,TON,Tonne,2005,2005,TONNE,Tonnes,0,Units,,,19260,,
CAN,Canada,13,Miscellaneous freshwater fishes,TON,Tonne,2006,2006,TONNE,Tonnes,0,Units,,,21482,,
CAN,Canada,13,Miscellaneous freshwater fishes,TON,Tonne,2007,2007,TONNE,Tonnes,0,Units,,,18764,,
CAN,Canada,13,Miscellaneous freshwater fishes,TON,Tonne,2008,2008,TONNE,Tonnes,0,Units,,,18622,,
CAN,Canada,13,Miscellaneous freshwater fishes,TON,Tonne,2009,2009,TONNE,Tonnes,0,Units,,,20281,,
CAN,Canada,13,Miscellaneous freshwater fishes,TON,Tonne,2010,2010,TONNE,Tonnes,0,Units,,,18068,,
CAN,Canada,13,Miscellaneous freshwater fishes,TON,Tonne,2011,2011,TONNE,Tonnes,0,Units,,,16338,,
CAN,Canada,13,Miscellaneous freshwater fishes,TON,Tonne,2012,2012,TONNE,Tonnes,0,Units,,,19151,,
CAN,Canada,13,Miscellaneous freshwater fishes,TON,Tonne,2013,2013,TONNE,Tonnes,0,Units,,,18187,,
CAN,Canada,13,Miscellaneous freshwater fishes,TON,Tonne,2014,2014,TONNE,Tonnes,0,Units,,,17165,,
CAN,Canada,13,Miscellaneous freshwater fishes,TON,Tonne,2015,2015,TONNE,Tonnes,0,Units,,,16342,,
CAN,Canada,13,Miscellaneous freshwater fishes,TON,Tonne,2016,2016,TONNE,Tonnes,0,Units,,,17177,,
CAN,Canada,13,Miscellaneous freshwater fishes,TON,Tonne,2017,2017,TONNE,Tonnes,0,Units,,,17385,,
CAN,Canada,FPY,American yellow perch [Perca flavescens],TON,Tonne,2005,2005,TONNE,Tonnes,0,Units,,,4034,,
CAN,Canada,FPY,American yellow perch [Perca flavescens],TON,Tonne,2006,2006,TONNE,Tonnes,0,Units,,,5307,,
CAN,Canada,FPY,American yellow perch [Perca flavescens],TON,Tonne,2007,2007,TONNE,Tonnes,0,Units,,,4188,,
CAN,Canada,FPY,American yellow perch [Perca flavescens],TON,Tonne,2008,2008,TONNE,Tonnes,0,Units,,,3713,,
CAN,Canada,FPY,American yellow perch [Perca flavescens],TON,Tonne,2009,2009,TONNE,Tonnes,0,Units,,,2813,,
CAN,Canada,FPY,American yellow perch [Perca flavescens],TON,Tonne,2010,2010,TONNE,Tonnes,0,Units,,,4270,,
CAN,Canada,FPY,American yellow perch [Perca flavescens],TON,Tonne,2011,2011,TONNE,Tonnes,0,Units,,,4241,,
CAN,Canada,FPY,American yellow perch [Perca flavescens],TON,Tonne,2012,2012,TONNE,Tonnes,0,Units,,,4675,,
CAN,Canada,FPY,American yellow perch [Perca flavescens],TON,Tonne,2013,2013,TONNE,Tonnes,0,Units,,,3781,,
CAN,Canada,FPY,American yellow perch [Perca flavescens],TON,Tonne,2014,2014,TONNE,Tonnes,0,Units,,,3518,,
CAN,Canada,FPY,American yellow perch [Perca flavescens],TON,Tonne,2015,2015,TONNE,Tonnes,0,Units,,,3055,,
CAN,Canada,FPY,American yellow perch [Perca flavescens],TON,Tonne,2016,2016,TONNE,Tonnes,0,Units,,,3295,,
CAN,Canada,FPY,American yellow perch [Perca flavescens],TON,Tonne,2017,2017,TONNE,Tonnes,0,Units,,,4228,,
CAN,Canada,FPI,Northern pike [Esox lucius],TON,Tonne,2005,2005,TONNE,Tonnes,0,Units,,,1417,,
CAN,Canada,FPI,Northern pike [Esox lucius],TON,Tonne,2006,2006,TONNE,Tonnes,0,Units,,,1572,,
CAN,Canada,FPI,Northern pike [Esox lucius],TON,Tonne,2007,2007,TONNE,Tonnes,0,Units,,,1697,,
CAN,Canada,FPI,Northern pike [Esox lucius],TON,Tonne,2008,2008,TONNE,Tonnes,0,Units,,,1951,,
CAN,Canada,FPI,Northern pike [Esox lucius],TON,Tonne,2009,2009,TONNE,Tonnes,0,Units,,,1955,,
CAN,Canada,FPI,Northern pike [Esox lucius],TON,Tonne,2010,2010,TONNE,Tonnes,0,Units,,,1890,,
CAN,Canada,FPI,Northern pike [Esox lucius],TON,Tonne,2011,2011,TONNE,Tonnes,0,Units,,,1646,,
CAN,Canada,FPI,Northern pike [Esox lucius],TON,Tonne,2012,2012,TONNE,Tonnes,0,Units,,,2102,,
CAN,Canada,FPI,Northern pike [Esox lucius],TON,Tonne,2013,2013,TONNE,Tonnes,0,Units,,,1886,,
CAN,Canada,FPI,Northern pike [Esox lucius],TON,Tonne,2014,2014,TONNE,Tonnes,0,Units,,,2106,,
CAN,Canada,FPI,Northern pike [Esox lucius],TON,Tonne,2015,2015,TONNE,Tonnes,0,Units,,,1946,,
CAN,Canada,FPI,Northern pike [Esox lucius],TON,Tonne,2016,2016,TONNE,Tonnes,0,Units,,,1922,,
CAN,Canada,FPI,Northern pike [Esox lucius],TON,Tonne,2017,2017,TONNE,Tonnes,0,Units,,,1862,,
CAN,Canada,STV,Walleye [Sander vitreus],TON,Tonne,2005,2005,TONNE,Tonnes,0,Units,,,8855,,
CAN,Canada,STV,Walleye [Sander vitreus],TON,Tonne,2006,2006,TONNE,Tonnes,0,Units,,,10245,,
CAN,Canada,STV,Walleye [Sander vitreus],TON,Tonne,2007,2007,TONNE,Tonnes,0,Units,,,8984,,
CAN,Canada,STV,Walleye [Sander vitreus],TON,Tonne,2008,2008,TONNE,Tonnes,0,Units,,,8288,,
CAN,Canada,STV,Walleye [Sander vitreus],TON,Tonne,2009,2009,TONNE,Tonnes,0,Units,,,7660,,
CAN,Canada,STV,Walleye [Sander vitreus],TON,Tonne,2010,2010,TONNE,Tonnes,0,Units,,,7725,,
CAN,Canada,STV,Walleye [Sander vitreus],TON,Tonne,2011,2011,TONNE,Tonnes,0,Units,,,7418,,
CAN,Canada,STV,Walleye [Sander vitreus],TON,Tonne,2012,2012,TONNE,Tonnes,0,Units,,,8287,,
CAN,Canada,STV,Walleye [Sander vitreus],TON,Tonne,2013,2013,TONNE,Tonnes,0,Units,,,7738,,
CAN,Canada,STV,Walleye [Sander vitreus],TON,Tonne,2014,2014,TONNE,Tonnes,0,Units,,,6869,,
CAN,Canada,STV,Walleye [Sander vitreus],TON,Tonne,2015,2015,TONNE,Tonnes,0,Units,,,6648,,
CAN,Canada,STV,Walleye [Sander vitreus],TON,Tonne,2016,2016,TONNE,Tonnes,0,Units,,,6926,,
CAN,Canada,STV,Walleye [Sander vitreus],TON,Tonne,2017,2017,TONNE,Tonnes,0,Units,,,7396,,
CAN,Canada,2,Diadromous fishes,TON,Tonne,2005,2005,TONNE,Tonnes,0,Units,,,12507,,
CAN,Canada,2,Diadromous fishes,TON,Tonne,2006,2006,TONNE,Tonnes,0,Units,,,10321,,
CAN,Canada,2,Diadromous fishes,TON,Tonne,2007,2007,TONNE,Tonnes,0,Units,,,13177,,
CAN,Canada,2,Diadromous fishes,TON,Tonne,2008,2008,TONNE,Tonnes,0,Units,,,12182,,
CAN,Canada,2,Diadromous fishes,TON,Tonne,2009,2009,TONNE,Tonnes,0,Units,,,12437,,
CAN,Canada,2,Diadromous fishes,TON,Tonne,2010,2010,TONNE,Tonnes,0,Units,,,9284,,
CAN,Canada,2,Diadromous fishes,TON,Tonne,2011,2011,TONNE,Tonnes,0,Units,,,9396,,
CAN,Canada,2,Diadromous fishes,TON,Tonne,2012,2012,TONNE,Tonnes,0,Units,,,10169,,
CAN,Canada,2,Diadromous fishes,TON,Tonne,2013,2013,TONNE,Tonnes,0,Units,,,9991,,
CAN,Canada,2,Diadromous fishes,TON,Tonne,2014,2014,TONNE,Tonnes,0,Units,,,9273,,
CAN,Canada,2,Diadromous fishes,TON,Tonne,2015,2015,TONNE,Tonnes,0,Units,,,11028,,
CAN,Canada,2,Diadromous fishes,TON,Tonne,2016,2016,TONNE,Tonnes,0,Units,,,12426,,
CAN,Canada,2,Diadromous fishes,TON,Tonne,2017,2017,TONNE,Tonnes,0,Units,,,10974,,
CAN,Canada,21,"Sturgeons, paddlefishes",TON,Tonne,2005,2005,TONNE,Tonnes,0,Units,,,103,,
CAN,Canada,21,"Sturgeons, paddlefishes",TON,Tonne,2006,2006,TONNE,Tonnes,0,Units,,,113,,
CAN,Canada,21,"Sturgeons, paddlefishes",TON,Tonne,2007,2007,TONNE,Tonnes,0,Units,,,112,,
CAN,Canada,21,"Sturgeons, paddlefishes",TON,Tonne,2008,2008,TONNE,Tonnes,0,Units,,,114,,
CAN,Canada,21,"Sturgeons, paddlefishes",TON,Tonne,2009,2009,TONNE,Tonnes,0,Units,,,111,,
CAN,Canada,21,"Sturgeons, paddlefishes",TON,Tonne,2010,2010,TONNE,Tonnes,0,Units,,,242,,
CAN,Canada,21,"Sturgeons, paddlefishes",TON,Tonne,2011,2011,TONNE,Tonnes,0,Units,,,127,,
CAN,Canada,21,"Sturgeons, paddlefishes",TON,Tonne,2012,2012,TONNE,Tonnes,0,Units,,,120,,
CAN,Canada,21,"Sturgeons, paddlefishes",TON,Tonne,2013,2013,TONNE,Tonnes,0,Units,,,114,,
CAN,Canada,21,"Sturgeons, paddlefishes",TON,Tonne,2014,2014,TONNE,Tonnes,0,Units,,,120,,
CAN,Canada,21,"Sturgeons, paddlefishes",TON,Tonne,2015,2015,TONNE,Tonnes,0,Units,,,116,,
CAN,Canada,21,"Sturgeons, paddlefishes",TON,Tonne,2016,2016,TONNE,Tonnes,0,Units,,,126,,
CAN,Canada,21,"Sturgeons, paddlefishes",TON,Tonne,2017,2017,TONNE,Tonnes,0,Units,,,122,,
