COUNTRY,Country,FLEET,Fleet,MEASURE,Measure,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,FWET,Vessels with engine,GT,Gross tonnage,2016,2016,TONNE,Tonnes,0,Units,,,64623,,
AUS,Australia,FWET,Vessels with engine,GT,Gross tonnage,2017,2017,TONNE,Tonnes,0,Units,,,40648,,
AUS,Australia,FWEM,LOA unknown,NU,Number of vessels,2005,2005,NBR,Number,0,Units,,,73,,
AUS,Australia,FWEM,LOA unknown,NU,Number of vessels,2006,2006,NBR,Number,0,Units,,,13,,
AUS,Australia,FWEM,LOA unknown,NU,Number of vessels,2007,2007,NBR,Number,0,Units,,,8,,
AUS,Australia,FWEM,LOA unknown,NU,Number of vessels,2008,2008,NBR,Number,0,Units,,,8,,
AUS,Australia,FWEM,LOA unknown,NU,Number of vessels,2009,2009,NBR,Number,0,Units,,,22,,
AUS,Australia,FWEM,LOA unknown,NU,Number of vessels,2010,2010,NBR,Number,0,Units,,,14,,
AUS,Australia,FWEM,LOA unknown,NU,Number of vessels,2011,2011,NBR,Number,0,Units,,,11,,
AUS,Australia,FWEM,LOA unknown,NU,Number of vessels,2012,2012,NBR,Number,0,Units,,,14,,
AUS,Australia,FWEM,LOA unknown,NU,Number of vessels,2015,2015,NBR,Number,0,Units,,,1,,
AUS,Australia,FWEM,LOA unknown,GT,Gross tonnage,2015,2015,TONNE,Tonnes,0,Units,,,0,,
AUS,Australia,FWEM0,0-5.9 m,NU,Number of vessels,2005,2005,NBR,Number,0,Units,,,5,,
AUS,Australia,FWEM0,0-5.9 m,NU,Number of vessels,2006,2006,NBR,Number,0,Units,,,4,,
AUS,Australia,FWEM0,0-5.9 m,NU,Number of vessels,2007,2007,NBR,Number,0,Units,,,3,,
AUS,Australia,FWEM0,0-5.9 m,NU,Number of vessels,2008,2008,NBR,Number,0,Units,,,2,,
AUS,Australia,FWEM0,0-5.9 m,NU,Number of vessels,2009,2009,NBR,Number,0,Units,,,3,,
AUS,Australia,FWEM0,0-5.9 m,NU,Number of vessels,2010,2010,NBR,Number,0,Units,,,3,,
AUS,Australia,FWEM0,0-5.9 m,NU,Number of vessels,2011,2011,NBR,Number,0,Units,,,2,,
AUS,Australia,FWEM0,0-5.9 m,NU,Number of vessels,2012,2012,NBR,Number,0,Units,,,2,,
AUS,Australia,FWEM0,0-5.9 m,NU,Number of vessels,2013,2013,NBR,Number,0,Units,,,2,,
AUS,Australia,FWEM0,0-5.9 m,NU,Number of vessels,2014,2014,NBR,Number,0,Units,,,4,,
AUS,Australia,FWEM0,0-5.9 m,NU,Number of vessels,2015,2015,NBR,Number,0,Units,,,3,,
AUS,Australia,FWEM0,0-5.9 m,NU,Number of vessels,2016,2016,NBR,Number,0,Units,,,2,,
AUS,Australia,FWEM0,0-5.9 m,NU,Number of vessels,2017,2017,NBR,Number,0,Units,,,3,,
AUS,Australia,FWEM0,0-5.9 m,GT,Gross tonnage,2006,2006,TONNE,Tonnes,0,Units,,,64,,
AUS,Australia,FWEM0,0-5.9 m,GT,Gross tonnage,2007,2007,TONNE,Tonnes,0,Units,,,64,,
AUS,Australia,FWEM0,0-5.9 m,GT,Gross tonnage,2008,2008,TONNE,Tonnes,0,Units,,,4,,
AUS,Australia,FWEM0,0-5.9 m,GT,Gross tonnage,2009,2009,TONNE,Tonnes,0,Units,,,63,,
AUS,Australia,FWEM0,0-5.9 m,GT,Gross tonnage,2010,2010,TONNE,Tonnes,0,Units,,,63,,
AUS,Australia,FWEM0,0-5.9 m,GT,Gross tonnage,2011,2011,TONNE,Tonnes,0,Units,,,61,,
AUS,Australia,FWEM0,0-5.9 m,GT,Gross tonnage,2012,2012,TONNE,Tonnes,0,Units,,,61,,
AUS,Australia,FWEM0,0-5.9 m,GT,Gross tonnage,2013,2013,TONNE,Tonnes,0,Units,,,61,,
AUS,Australia,FWEM0,0-5.9 m,GT,Gross tonnage,2014,2014,TONNE,Tonnes,0,Units,,,61,,
AUS,Australia,FWEM0,0-5.9 m,GT,Gross tonnage,2015,2015,TONNE,Tonnes,0,Units,,,61,,
AUS,Australia,FWEM0,0-5.9 m,GT,Gross tonnage,2016,2016,TONNE,Tonnes,0,Units,,,60,,
AUS,Australia,FWEM0,0-5.9 m,GT,Gross tonnage,2017,2017,TONNE,Tonnes,0,Units,,,1,,
AUS,Australia,FWEM6,6-11.9 m,NU,Number of vessels,2005,2005,NBR,Number,0,Units,,,25,,
AUS,Australia,FWEM6,6-11.9 m,NU,Number of vessels,2006,2006,NBR,Number,0,Units,,,27,,
AUS,Australia,FWEM6,6-11.9 m,NU,Number of vessels,2007,2007,NBR,Number,0,Units,,,23,,
AUS,Australia,FWEM6,6-11.9 m,NU,Number of vessels,2008,2008,NBR,Number,0,Units,,,21,,
